Matrix,Time(ns)
c-39,23330.0
G49,7166.0
Trefethen_200,4750.0
fs_760_1,7456.0
man_5976,27802.0
jgl009,5434.0
Trefethen_150,5163.0
Plants_10NN,8510.0
dwt_503,6554.0
lp_scagr7,4899.0
f855_mat9,21351.0
c-21,10492.0
af_shell2,2179900.0
G51,5677.0
c-20,6937.0
adder_dcop_26,6543.0
fpga_dcop_28,5757.0
GD00_a,4674.0
mhda416,6006.0
diag,5568.0
cat_ears_3_4,8974.0
n4c5-b2,4798.0
dbir1,93324.0
G28,11882.0
dw256A,6431.0
tuma1,22254.0
oscil_dcop_12,5737.0
jendrec1,16005.0
nos6,6370.0
adder_dcop_31,8538.0
lp22,13331.0
c-50,48969.0
pores_1,4546.0
c-19,9586.0
dwt_918,7498.0
qh1484,6310.0
pds-100,381439.0
GD00_c,5239.0
G23,10301.0
lowThrust_5,34648.0
D_6,5713.0
coupled,28178.0
Olivetti_norm_10NN,5397.0
lp_osa_60,196627.0
jnlbrng1,42901.0
bcsstk03,5063.0
west0132,4978.0
lpi_woodinfe,4448.0
barth4,10183.0
gr_30_30,6704.0
lp_bandm,5369.0
ch7-9-b2,17760.0
lhr04,16604.0
nos1,5964.0
netscience,6072.0
CollegeMsg,8905.0
circuit204,5419.0
GD98_a,4541.0
hangGlider_1,6026.0
oscil_dcop_32,5714.0
bcspwr10,8653.0
adder_dcop_39,6579.0
power,8564.0
fpga_dcop_03,5100.0
Dubcova2,108167.0
lock2232,14749.0
TSOPF_FS_b9_c1,9862.0
ACTIVSg2000,11910.0
lp_nug08,7791.0
fxm3_6,14364.0
dwb512,6900.0
lap_25,4447.0
rail_20209,33628.0
bibd_12_5,5755.0
fpga_dcop_18,5483.0
rel3,4512.0
grid1,4751.0
goddardRocketProblem_2,5655.0
lpl3,20002.0
msc01050,7305.0
west0156,4385.0
af_2_k101,2152240.0
fv1,13607.0
meg1,13208.0
reorientation_5,8295.0
lpi_ex72a,4594.0
c-73,157519.0
raefsky5,24926.0
ex10hs,12804.0
t2d_q9,19664.0
rdist2,12697.0
ash85,5579.0
abb313,4795.0
adder_dcop_67,7397.0
Lin,209813.0
fxm2-6,6235.0
c-37,11999.0
west0167,4753.0
bcspwr09,5648.0
t2dal_bci,9163.0
Franz7,8720.0
TF13,6378.0
deter4,6908.0
skirt,28472.0
delaunay_n11,6932.0
dermatology_5NN,4708.0
adder_dcop_01,6044.0
dwt_869,5487.0
af_0_k101,2158680.0
gams10a,4705.0
lp_nug06,4953.0
lp_pilot,7843.0
gent113,4348.0
mk12-b3,28529.0
ch7-7-b5,35521.0
G7,9655.0
n2c6-b1,4817.0
bfwb62,4686.0
ch6-6-b4,10144.0
relat5,5589.0
rajat13,14473.0
ex21,7635.0
goddardRocketProblem_1,6282.0
lshp_265,4956.0
p010,24868.0
psse2,24148.0
can_715,6374.0
gas_sensor,143141.0
fd18,21210.0
rajat07,19875.0
rdb5000,11256.0
Sieber,6714.0
af_3_k101,2166210.0
lhr07c,22477.0
aa01,12828.0
nemeth24,110833.0
dwt_512,4767.0
jagmesh3,5648.0
lpi_vol1,4810.0
bcsstk28,26694.0
collins_15NN,6009.0
d_dyn1,4676.0
model1,5424.0
jan99jac100sc,67504.0
dynamicSoaringProblem_5,10370.0
adder_dcop_34,7606.0
gre_512,5888.0
wm3,5211.0
adder_dcop_55,8279.0
dwt_346,6009.0
Trec10,5401.0
jgl011,4081.0
LFAT5,4524.0
primagaz,9315.0
lp_standmps,6080.0
lp_sc205,4584.0
fpga_dcop_27,6849.0
kineticBatchReactor_4,15655.0
lp_fit1p,6385.0
Franz4,14980.0
Maragal_7,207454.0
jan99jac120sc,70605.0
oscil_dcop_55,5152.0
rel6,6122.0
can_73,4461.0
tp-6,1647900.0
aa03,9242.0
msc10848,92631.0
oscil_dcop_19,5849.0
hangGlider_4,28684.0
dwt_2680,10004.0
brainpc2,35357.0
olm2000,8469.0
cz1268,8882.0
lpi_bgdbg1,5644.0
Trec12,33801.0
bcsstm34,6890.0
dataset22mfeatzernike_10NN,9216.0
dwt_59,5183.0
rotor1,4879.0
p2p-Gnutella25,15500.0
ABACUS_shell_ud,38414.0
cis-n4c6-b14,5973.0
lp_grow15,6033.0
LF10000,23859.0
oscil_dcop_26,4823.0
af_shell9,2186730.0
cari,15804.0
bp_600,6970.0
n3c4-b4,4520.0
fome11,19372.0
Hamrle2,11561.0
ACTIVSg70K,110400.0
lpi_bgindy,16157.0
bp_400,7549.0
G4,11145.0
delaunay_n15,74050.0
s3rmt3m3,25514.0
west0479,4999.0
adder_dcop_43,8520.0
bcsstm26,6544.0
GD01_c,4769.0
tumorAntiAngiogenesis_4,5320.0
lhr71c,125232.0
CAG_mat72,5081.0
p2p-Gnutella04,9116.0
ex25,7164.0
aircraft,7247.0
p0040,4238.0
c-42,16042.0
adder_dcop_28,6887.0
cavity22,19650.0
adder_dcop_07,6913.0
lp_greenbea,10611.0
crashbasis,171411.0
rajat26,71972.0
G60,11528.0
hangGlider_3,20089.0
M40PI_n,7014.0
dataset20mfeatpixel_10NN,9480.0
lp_bnl1,7011.0
iiasa,6253.0
D_5,5126.0
Trec5,5272.0
adder_dcop_02,6891.0
venkat01,142902.0
fd15,11230.0
WorldCities,6043.0
cz2548,7602.0
adder_dcop_41,6794.0
utm5940,15985.0
M80PI_n1,7357.0
wheel_3_1,4044.0
biplane-9,18603.0
blckhole,6531.0
n3c5-b4,4935.0
cavity05,10664.0
crack_dual,16901.0
lpi_mondou2,5326.0
3elt_dual,10835.0
Erdos971,5068.0
IG5-17,137230.0
spaceShuttleEntry_4,10498.0
lesmis,5057.0
bcsstm24,7872.0
scagr7-2c,8771.0
G41,10847.0
lp_ship12l,8822.0
adder_dcop_45,8705.0
poli3,14345.0
cdde6,7839.0
Ill_Stokes,37904.0
oscil_dcop_16,5182.0
lp_finnis,4968.0
162bit,12317.0
mycielskian11,16989.0
adder_dcop_14,6003.0
ch7-7-b1,4972.0
astro-ph,54089.0
Trec11,8636.0
deter8,8271.0
wang1,9059.0
oscil_dcop_13,5233.0
lp_share2b,4560.0
impcol_d,5179.0
bmwcra_1,1228800.0
S10PI_n,4746.0
fpga_dcop_45,5240.0
cz10228,20147.0
shermanACb,38866.0
can_292,5085.0
struct4,27076.0
plantstexture_10NN,8316.0
lp_sc50a,4541.0
M10PI_n,5404.0
powersim,19229.0
model6,9699.0
mk11-b3,14518.0
cis-n4c6-b15,6967.0
spiral,9504.0
flower_7_1,5130.0
klein-b2,4561.0
arc130,4510.0
Si2,8652.0
08blocks,6004.0
Maragal_4,9456.0
bcsstk35,134061.0
p05,11766.0
bfwa782,5386.0
bayer05,9755.0
oscil_dcop_37,6558.0
scfxm1-2b,30421.0
air06,11774.0
dwt_198,5658.0
can_24,4483.0
grid1_dual,4406.0
lp_perold,6591.0
mark3jac080,53778.0
aft01,22234.0
dwt_1007,5987.0
fpga_dcop_16,6568.0
G1,9770.0
deter7,10478.0
b2_ss,7069.0
lutz30-23-b6,7329.0
ex18,16503.0
adder_dcop_60,7220.0
G8,9707.0
bfly,28354.0
n3c4-b3,4577.0
adder_dcop_12,8296.0
iris_dataset_30NN,6858.0
lns_131,5546.0
D6-6,27858.0
lp_modszk1,5875.0
JapaneseVowelsSmall_10NN,25988.0
adder_dcop_16,6104.0
662_bus,4890.0
karted,231876.0
gre_216a,4331.0
Erdos982,7515.0
wheel_7_1,4225.0
mbeaflw,7755.0
freeFlyingRobot_12,9719.0
n3c5-b5,4578.0
air04,9258.0
af_shell5,2190440.0
mesh1em6,4498.0
vsp_data_and_seymourl,34920.0
beause,8652.0
LeGresley_4908,13462.0
copter1,34654.0
g7jac040sc,24286.0
G48,5927.0
watt_1,6960.0
G47,7106.0
fpga_dcop_46,5184.0
spaceShuttleEntry_2,8816.0
can_144,5619.0
sherman3,9853.0
c-18,8144.0
lp_grow7,5907.0
ex37,13558.0
torso2,122721.0
bayer10,23060.0
ODLIS,9561.0
G39,9713.0
oscil_dcop_45,5888.0
n4c5-b6,11738.0
EX4,13120.0
MISKnowledgeMap,12385.0
model7,13817.0
gen4,18287.0
msc00726,9553.0
pde900,7002.0
luxembourg_osm,69327.0
freeFlyingRobot_14,11961.0
ACTIVSg10K,29362.0
S40PI_n1,5672.0
adder_dcop_38,8998.0
cavity02,7917.0
adder_dcop_08,8589.0
oscil_dcop_11,6462.0
rajat08,22370.0
GL6_D_7,6151.0
fpga_dcop_11,5851.0
as-22july06,38614.0
slptsk,12808.0
n4c5-b4,8965.0
adder_dcop_37,8282.0
p2p-Gnutella05,9298.0
cage8,6950.0
scrs8-2b,6309.0
bratu3d,32875.0
rdb800l,5924.0
f855_mat9_I,22352.0
invextr1_new,180757.0
c-44,13970.0
model9,9821.0
illc1850,6504.0
ex2,7676.0
dw1024,6199.0
GD99_c,4351.0
D_11,4625.0
meg4,9490.0
cell2,9318.0
cegb3024,11484.0
lp_sctap3,6178.0
ch8-8-b1,5331.0
cavity03,4929.0
G45,5968.0
Zhao2,35586.0
fome12,48178.0
oscil_dcop_38,4845.0
GD96_a,5059.0
cavity11,14323.0
kineticBatchReactor_9,18911.0
adder_dcop_23,6728.0
ex4,11225.0
bcsstm05,4626.0
D_8,7801.0
lp_etamacro,5166.0
cat_ears_4_1,5219.0
SmallW,4882.0
de2010,42140.0
nasa1824,10269.0
lshp2233,7730.0
g7jac020sc,12553.0
wheel_4_1,4443.0
whitaker3,14747.0
n3c6-b10,6488.0
fpga_dcop_23,5407.0
nl,13767.0
cz5108,13122.0
fe_4elt2,16325.0
oscil_dcop_21,5460.0
Maragal_5,20205.0
dw256B,6045.0
BenElechi1,1555720.0
oscil_dcop_28,5010.0
Tina_AskCal,4331.0
robot24c1_mat5,6078.0
n2c6-b6,9662.0
pgp2,7771.0
c-34,11016.0
air05,8794.0
Pd_rhs,7810.0
lp_qap8,5281.0
kleemin,4389.0
G61,11021.0
mimo8x8_system,12338.0
rbsa480,6525.0
lp_cre_a,8500.0
abtaha1,14900.0
jan99jac060sc,31918.0
bauru5727,45045.0
can_229,5108.0
cryg10000,16455.0
ash608,6433.0
tols2000,5196.0
gen1,11069.0
dataset12mfeatfactors_10NN,8762.0
oscil_dcop_54,4751.0
nnc1374,6157.0
kineticBatchReactor_2,12765.0
saylr3,6879.0
lp_ken_11,15159.0
air03,14667.0
bips98_1142,13661.0
lpi_gran,8455.0
oscil_dcop_01,5150.0
shock-9,25976.0
mk9-b1,4587.0
lp_bnl2,8333.0
dynamicSoaringProblem_1,5148.0
deter1,10313.0
well1850,8282.0
mahindas,7353.0
bcspwr06,6851.0
nasa2146,15243.0
adder_dcop_52,7012.0
can_1072,6852.0
