Matrix,1 Threads
bcsstm10,14073.0
bcsstm11,2734.0
bcsstm12,14137.0
bcsstm13,16530.0
bcsstm19,1763.0
bcsstm20,1275.0
bcsstm21,5658.0
bcsstm22,808.0
bcsstm23,5039.0
bcsstm24,5651.0
bcsstm25,21822.0
bcsstm26,3385.0
bcsstm27,34119.0
bcsstm34,14060.0
bcsstm35,31345.0
bcsstm37,24493.0
bcsstm38,14354.0
bcsstm39,64078.0
beacxc,22169.0
beaflw,23852.0
beause,21040.0
benzene,210350.0
bfly,132827.0
bfwa398,3478.0
bfwa62,1052.0
bfwa782,6338.0
bfwb398,3071.0
bfwb62,914.0
bfwb782,5667.0
bibd_11_5,2812.0
bibd_12_4,3556.0
bibd_12_5,5011.0
bibd_13_6,9201.0
bibd_14_7,28592.0
bibd_15_3,1693.0
bibd_15_7,63062.0
bibd_17_3,2068.0
bibd_17_4,6721.0
bibd_17_4b,6796.0
bibd_49_3,33404.0
bibd_81_2,5173.0
bibd_9_3,829.0
bibd_9_5,1454.0
big,126825.0
big_dual,114246.0
biplane-9,69095.0
bips07_1693,85681.0
bips07_1998,121708.0
bips07_2476,136968.0
bips07_3078,166875.0
bips98_1142,55508.0
bips98_1450,72222.0
bips98_606,31562.0
blckhole,13907.0
bloweya,114905.0
bloweybl,102260.0
bloweybq,53737.0
bmw3_2,10928700.0
bmwcra_1,9306350.0
bodyy4,126857.0
bodyy5,126278.0
bodyy6,122648.0
boyd1,1733260.0
boyd2,1527220.0
bp_0,3818.0
bp_1000,4688.0
bp_1200,4702.0
bp_1400,4772.0
bp_1600,4874.0
bp_200,4166.0
bp_400,4323.0
bp_600,4447.0
bp_800,4570.0
brainpc2,134368.0
bratu3d,155862.0
breasttissue_10NN,1710.0
bwm200,1284.0
bwm2000,6490.0
c-18,12928.0
c-19,16799.0
c-20,16374.0
c-21,22594.0
c-22,20335.0
c-23,22912.0
c-24,24405.0
c-25,33314.0
c-26,25123.0
c-27,23157.0
c-28,23806.0
c-29,29730.0
c-30,40042.0
c-31,50890.0
c-32,33451.0
c-33,37647.0
c-34,43983.0
c-35,53313.0
c-36,44228.0
c-37,62989.0
c-38,59642.0
c-39,106522.0
c-40,54128.0
c-41,94800.0
c-42,72324.0
c-43,79629.0
c-44,90992.0
c-45,102864.0
c-46,96985.0
c-47,143995.0
c-48,179069.0
c-49,215756.0
c-50,234584.0
c-51,225633.0
c-52,250278.0
c-73,949380.0
c-73b,944642.0
ca-CondMat,463323.0
ca-GrQc,42341.0
ca-HepPh,322025.0
ca-HepTh,123875.0
cage,4195.0
cage10,142652.0
cage3,603.0
cage4,624.0
cage5,809.0
cage6,1291.0
cage7,3027.0
cage8,9682.0
cage9,31279.0
can_1054,9471.0
can_1072,9549.0
can_144,1709.0
can_161,1858.0
can_187,1951.0
can_229,2167.0
can_24,753.0
can_256,2877.0
can_268,2962.0
can_292,2630.0
can_445,3722.0
can_61,1134.0
can_62,857.0
can_634,7275.0
can_715,5823.0
can_73,981.0
can_838,7852.0
can_96,1287.0
car4,45816.0
cari,61524.0
case9,94766.0
cat_ears_2_1,901.0
cat_ears_2_4,7106.0
cat_ears_3_1,1207.0
cat_ears_3_4,51505.0
cat_ears_4_1,1823.0
cat_ears_4_4,305035.0
cavity01,5125.0
cavity02,6484.0
cavity03,5117.0
cavity04,5363.0
cavity05,19970.0
cavity06,21243.0
cavity07,19941.0
cavity08,21196.0
cavity09,20072.0
cavity10,45269.0
cavity11,44972.0
cavity12,45143.0
cavity13,44964.0
cavity14,44790.0
cavity15,46511.0
cavity16,81038.0
cavity17,80697.0
cavity18,81114.0
cavity19,80932.0
cavity20,81228.0
cavity21,80926.0
cavity22,81028.0
cavity23,80739.0
cavity24,80455.0
cavity25,80705.0
cavity26,80959.0
cca,159749.0
ccc,181318.0
cdde1,5476.0
